event, group, country, athlete_name, finish
WOMEN'S 100M BUTTERFLY, heat 1, DEN, BACH, 58.45
WOMEN'S 100M BUTTERFLY, heat 1, ESP, GARZAS, 59.40
WOMEN'S 100M BUTTERFLY, heat 1, ARM, MANUCHARYAN	, 1:01.24
WOMEN'S 100M BUTTERFLY, heat 1, SEN, DIOP, 1:01.82
WOMEN'S 100M BUTTERFLY, heat 1, GEO, NIZHARADZE	, 1:02.85
WOMEN'S 100M BUTTERFLY, heat 1, PAR, ALONSO			, 1:03.09
WOMEN'S 100M BUTTERFLY, heat 1, NCA, SCHUTZMIER	, 1:03.18
WOMEN'S 100M BUTTERFLY, heat 1, SWZ, HOY	, 1:08.36
WOMEN'S 100M BUTTERFLY, heat 2, CHN, ZHANG,  56.50
WOMEN'S 100M BUTTERFLY, heat 2, AUS, McKEON, 56.79
WOMEN'S 100M BUTTERFLY, heat 2, FRA, WATTEL,  57.54
WOMEN'S 100M BUTTERFLY, heat 2, BIH, PUDAR, 	57.97
WOMEN'S 100M BUTTERFLY, heat 2, NZL, OUWEHAND,	58.03
WOMEN'S 100M BUTTERFLY, heat 2, IRL, WALSHE, 58.70
WOMEN'S 100M BUTTERFLY, heat 2, GRE, DAMASIOTI, 58.72
WOMEN'S 100M BUTTERFLY, heat 2, ITA, CARLO, DSQ
WOMEN'S 100M BUTTERFLY, heat 3, USA, HUSKE		,  56.72
WOMEN'S 100M BUTTERFLY, heat 3, CAN, MAC NEIL	,  57.00
WOMEN'S 100M BUTTERFLY, heat 3, AUS, PERKINS	,  57.46
WOMEN'S 100M BUTTERFLY, heat 3, SWE, HANSSON	,  57.57
WOMEN'S 100M BUTTERFLY, heat 3, NED, GIELE		,  57.89
WOMEN'S 100M BUTTERFLY, heat 3, GBR, MACINNES	,  57.90
WOMEN'S 100M BUTTERFLY, heat 3, GRE, NTOUNTOUNAKI,  58.14
WOMEN'S 100M BUTTERFLY, heat 3, ITA, COCCONCELLI,  58.66
WOMEN'S 100M BUTTERFLY, heat 4, JPN, HIRAI, 56.71
WOMEN'S 100M BUTTERFLY, heat 4, USA, WALSH,  56.75
WOMEN'S 100M BUTTERFLY, heat 4, GER, KOEHLER, 56.90
WOMEN'S 100M BUTTERFLY, heat 4, CZE, SEEMANOVA,  57.50
WOMEN'S 100M BUTTERFLY, heat 4, BEL, VANOTTERDIJK,  57.54
WOMEN'S 100M BUTTERFLY, heat 4, RSA, GALLAGHER,  57.80
WOMEN'S 100M BUTTERFLY, heat 4, JPN, IKEE,  57.82
WOMEN'S 100M BUTTERFLY, heat 4, CAN, SMITH,  58.85


WOMEN'S 400M FREESTYLE , heat 1, GER, MAERTENS, 4:09.62
WOMEN'S 400M FREESTYLE , heat 1, ARG, HEIN, 4:14.24
WOMEN'S 400M FREESTYLE , heat 1, UZB, ZELINSKAYA, 4:31.71
WOMEN'S 400M FREESTYLE , heat 1, ISV, KUIPERS, 4:33.46
WOMEN'S 400M FREESTYLE , heat 1, JOR, BELBEISI, 4:37.30
WOMEN'S 400M FREESTYLE , heat 2, NZL, FAIRWEATJER, 4:02.55
WOMEN'S 400M FREESTYLE , heat 2, CAN, McINTOSH, 4:02.65
WOMEN'S 400M FREESTYLE , heat 2, AUS, PERKINS, 4:03.30
WOMEN'S 400M FREESTYLE , heat 2, USA, MADDEN, 4:03.34
WOMEN'S 400M FREESTYLE , heat 2, BRA, COSTA, 4:03.47
WOMEN'S 400M FREESTYLE , heat 2, BEL, DUMONT, 4:08.25
WOMEN'S 400M FREESTYLE , heat 2, FRA, KIRPICHNIKOVA, 4:10.32
WOMEN'S 400M FREESTYLE , heat 2, NZL, THOMAS, 4:11.86
WOMEN'S 400M FREESTYLE , heat 3, USA, LEDECKY, 4:02.19
WOMEN'S 400M FREESTYLE , heat 3, AUS, TITMUS, 4:02.46
WOMEN'S 400M FREESTYLE , heat 3, GER, GOSE, 4:03.83
WOMEN'S 400M FREESTYLE , heat 3, CHN, LI, 4:03.96
WOMEN'S 400M FREESTYLE , heat 3, CHN, LIU, 4:04.39
WOMEN'S 400M FREESTYLE , heat 3, JPN, KOBORI, 4:08.02
WOMEN'S 400M FREESTYLE , heat 3, HUN, KESELY, 4:08.90
WOMEN'S 400M FREESTYLE , heat 3, BRA, RONCATTO, 4:10.46


MEN'S 100M BREASTSTROKE, heat 1, LAO, INSIXIENGMAY,	1:04.64
MEN'S 100M BREASTSTROKE, heat 1, MOZ, LAWRENCE,	1:04.95
MEN'S 100M BREASTSTROKE, heat 1, ASA, MASI, 1:05:95
MEN'S 100M BREASTSTROKE, heat 1, SWZ, NG CHIU HING NING, 1:09.85
MEN'S 100M BREASTSTROKE, heat 3, AUS, JONG, 59.76
MEN'S 100M BREASTSTROKE, heat 3, ITA, VIBERTI, 59.93
MEN'S 100M BREASTSTROKE, heat 3, AUS, WILLIAMSON, 1:00.50
MEN'S 100M BREASTSTROKE, heat 3, USA, FINK, 59.46
MEN'S 100M BREASTSTROKE, heat 3, AIN, SOMOV, 59.83
MEN'S 100M BREASTSTROKE, heat 3, NED, CORBEAU, 59.04
MEN'S 100M BREASTSTROKE, heat 3, JPN, TANIGUCHI, 1:00.20


MEN'S 400M FREESTYLE, heat 1, MAR, FALLAKI, 4:03.03
MEN'S 400M FREESTYLE, heat 1, KEN, MOHAMED, 4:03.06
MEN'S 400M FREESTYLE, heat 1, GUY, NOEL, 4:03.09
MEN'S 400M FREESTYLE, heat 1, MKD, GJURETANOVIKJ, 4:04.20
MEN'S 400M FREESTYLE, heat 1, CRC, VEGA, 4:04.23
MEN'S 400M FREESTYLE, heat 2, EST, ZIRK, 3:49.59
MEN'S 400M FREESTYLE, heat 2, CHI, CISTRNAS, 3:51.29
MEN'S 400M FREESTYLE, heat 2, UZB, SIBIRTSEV, 3:51.52
MEN'S 400M FREESTYLE, heat 2, MAS, KHIEW, 3:51.66
MEN'S 400M FREESTYLE, heat 2, PER, VARGAS, 3:54.59
MEN'S 400M FREESTYLE, heat 2, BIH, LEKIC, 3:57.90
MEN'S 400M FREESTYLE, heat 2, MDA, ALOVATKI, 3L59.77
MEN'S 400M FREESTYLE, heat 2, SMR, BIANCHI, 4:01.13
MEN'S 400M FREESTYLE, heat 3, CHN, FEI, 3:44.60
MEN'S 400M FREESTYLE, heat 3, TUN, JAOUDI, 3:46.19
MEN'S 400M FREESTYLE, heat 3, HUN, SARKANY, 3:47.33
MEN'S 400M FREESTYLE, heat 3, FRA, AUBRY, 3:47.53
MEN'S 400M FREESTYLE, heat 3, SWE, JOHANSSON, 3:47.98
MEN'S 400M FREESTYLE, heat 3, VEN, MESTRE VIVAS, 3:48.20
MEN'S 400M FREESTYLE, heat 3, ITA, LAMBERTI, 3:48.38
MEN'S 400M FREESTYLE, heat 3, BRA, OLIVEIRA DE MORAES, 3:51.74
MEN'S 400M FREESTYLE, heat 4, BRA, COSTA, 3:44.23
MEN'S 400M FREESTYLE, heat 4, AUS, SHORT, 3:44.88
MEN'S 400M FREESTYLE, heat 4, USA, SHACKL, 3:45.45
MEN'S 400M FREESTYLE, heat 4, KOR, KIM, 3:45.52
MEN'S 400M FREESTYLE, heat 4, LTU, RAPSYS, 3:46.27
